x,y,,Hex,Terrain,Settlement,Date,Author,Description,More Info URL,Themes
03,19,,0319,,,1365566568,Zak Smith,A talking pheasant with offer the PCs one of three gems and one of ninety-nine knives if they can tell it the four names of sun.,,
03,20,,0320,,,1365576068,Chris H,"A human family with two children may be found going about their daily business on their mid-sized catamaran. Several thin, slowly pulsing, color-shifting tentacles appear from the husband's right ear and sweep back along that side of his head, the wife has a similar appendage but it appears out of her left ear; the children do not have this feature.",,
04,01,,0401,desert,,1365566800,Jacob Hurst,Five pits of cobras ring a broken obelisk too cracked and weathered to read. It is said that the obelisk can be restored each full moon by cracking a cobra egg from each pit on its surface.,,
04,02,,0402,desert,,1365567304,James Young,Melange,,
04,03,,0403,desert,TOWER OF THE DRAGON SORCERER,1365567653,Brian Green,[[TOWER OF THE DRAGON SORCERER]] is the abode of a normally friendly sorcerer. He is currently angry and upset because his lover left him to serve the temples of [[SYRINX]] (Hex [[0205]]).,,
04,04,,0404,desert,,1365567670,Josie Lindsey,"Sand falls from the sky here, but it can only be gathered once. Blowing it in a creature's face causes them to answer the next question truthfully. Desert creatures pass through to drink and feed from Hex [[0305]].",,
04,05,,0405,desert,,1365567911,Mak H,"The one-horned blind minotaur oracle Suug Magog shelters here within the skeletal rib cage of some long-dead giant cetacean. He practices scapulomancy: if brought the shoulder blade of one of the basilisks inhabiting the area, he will tell the bringer's fortunes by feeling the cracks produced when it is heated over fire.",,
04,06,,0406,desert,,1365568597,Brian Green,The river's slow-flowing waters provide a lush greenery along the banks. At night the area is patrolled by jackalwere bandits.,,
04,07,,0407,desert,,1365568907,Reginald Mc Reynolds,"A fallen iron star crashed here, leaving a crater that dominates the blasted desert landscape. The star still calls down the sky to the earth, and anyone crossing risks being struck by lightning.",,
04,08,,0408,desert,,1365569170,Ben Djarum,"On the banks of this cool clear river, a small shrine has been built in homage to a minor snake deity. Hidden inside is a small clay pot filled with 732 gp.",,
04,09,,0409,desert,,1365569460,James Young,Mirages seen in this area actually show images from all around the world.,,
04,10,,0410,desert,,1365570025,Jacob Hurst,"Yurvillia Trull, a gnomish enchanter/illusionist of some renown, lives in a comfortable and totally self sufficient farmstead disguised to look like a broken cart half-buried in the sand. He collects glass formed by the lightning strikes at the crater in Hex [[0407]] and shapes it into small automatons that aid him in his daily tasks, but never look as they actually are.",,
04,11,,0411,desert,,1365570270,Shaine Edwards,The Mosque of Annihilation.,,
04,12,,0412,desert,,1365577490,Chris H,"Anyone who sleeps in this hex will find himself back here, with exactly the same gear and physical condition as when they initially entered, upon awaking from sleep regardless of where they may have traveled since. The hex is filled with every sentient creature that has ever entered and failed to discover its secret, many of which have gone insane over the centuries. The lone adventurer from Hex [[0117]] knows that the only way to end the curse is to kill yourself, whereupon you'll appear, alive, in Hex [[0316]].",,
04,12,,0412,desert,,1365578333,Jason K,"The Mad idiot of [[0117]] asks anyone who sees him &quot;Why did the Farmer wait 2 streets up to cross the road?&quot; This hex is crossed by dried up streams and the stench of chicken feed, in the center is a 4 level factory farm. The farm is dedicated to the living chicken god Squawk who is the size of a T-Rex and sits on a massive straw bed and her humanoid cult ensures she has a life of leisure.",,
04,13,,0413,desert,,1365570291,Josie Lindsey,"A tribe of An-An, naked half-men who paint themselves wild colors and hunt with hollow spears. They will trade knowledge of surrounding hexes for goods to anyone surviving their initial attacks. They consider the Pangolin Men in Hex [[0313]] good eating, and point people looking for water to Hex [[0514]]",,
04,14,,0414,desert,,1365570342,Jacob Hurst,"Non-aquatic crocodiles with the legs, tails and pincers of black scorpion nest among rust colored dunes.",,
04,15,,0415,desert,,1365570411,Ray Colina,"A caravan, led by Jave Murak, who wears the scorpion crown, carrying silks and fine goods bound for Hex [[0102]]. An armored wagon, pulled by giant six-legged lizards and guarded, at all times, by desert-demon masked warriors, travels with the caravan.",,
04,15,,0415,desert,T'LAL EL FNA,1365570542,Shaine Edwards,"A ghostly souk called [[T'LAL EL FNA]] appears in the wastes beneath each new moon. It is said that all manner of enchAnt-ment may be had for a promise, but the eyeless merchants drive a difficult bargain.",,
04,16,,0416,desert,,1366342549,Ben Hannigan,"An obelisk tells of an ancient Princess of the Snake-men and her Marhaban lover. It is part of the Snake-men's creation mythology, and the priestesses of Hex [[1006]] would be very interested in it's knowledge.",,
04,17,,0417,,,1365570566,Jacob Hurst,The western expanse of the mushroom forest of Jangoleera is filled with piles of glass boulders spewed forth by the molten glass volcano of [[KAZEL KAMAK]] (Hex [[0318]]). The witch queen Brevia (Hex [[0618]]) sends her scarab minions here to harvest the glass for her Palace of a Thousand Colors.,,
04,18,,0418,,,1365571378,James Young,"Pools of boiling mud bubble up from the loam here. This is a holy place for all tribes of the An-An, a place where tribal rivalries are forgotten and all may bathe in peace. They use the mud for bathing, hut-building, and as a base for their colourful daub.",,
04,19,,0419,,,1365571431,Mak H,A winding trail climbs to a windswept ledge overlooking a sheer precipice. The Pangolin men from Hex [[0313]] come here with offerings to propitiate the spirits they believe control the weather. It is considered sacrilege to disturb the site.,,
04,20,,0420,,,1365572630,Michael Raston,Deep below the water there is an artificial grotto that houses a library and a nursery tended by monks with their eyes replaced with rubies. Psychotropic tentacled jellyfish guard the entrance.,,
05,01,,0501,desert,,1365572839,Josie Lindsey,"Blasphemous offspring of human and Djin meditate in a neglected palace of sparkling stone. They perform arduous rituals to maintain the Obelisk in Hex [[0401]], ingesting fungus from Hex [[0303]], and will try to prevent anyone from freeing the efreeti in Hex [[0502]].",,
05,02,,0502,desert,,1365573428,Brian Green,"An efreeti bound within an obsidian pillar will negotiate with passers by for its freedom, which requires a blood sacrifice.",,
05,03,,0503,desert,,1365573907,Josie Lindsey,"A frequent thoroughfare for beast migration. A pride of lions prey on the weak and vultures circle, awaiting the dead.",,
05,04,,0504,desert,,1365578192,Michael Raston,"A field of humanoid bones, some of it underneath a layer of sand, marks this hex as the location of a long forgotten battle. Giant maggots, overfed on centuries old leather may attack if disturbed.",,
05,05,,0505,desert,THE WANDERER'S HIDE,1365580350,Reece Carter,"[[THE WANDERER'S HIDE]] this area has a secret hidden oasis, you must be incredibly lucky or have been shown where it is to find it (a guide or a map will do). This area is a closely guarded secret and not many people know about it. Within this area you can find a safe place to rest (no encounter roll), fresh water, left food/gear/supplys from other people who know about the place. Anyone who uses any of the food/gear/supplys is expected to put some of their own stuff in its place so that everyone can use it",,
05,06,,0506,desert,,1365582772,Brian Green,A gathering of desert ascetics has met here to exchange news and information. Spending an entire day with them will allow a person to reduce their consumption of food and water while traveling in the desert by 1/2 for a number of weeks equal to their Wisdom score.,,
05,07,,0507,,,1365586162,Michael Raston,"A pleasant farming community is based on the banks of the river here, crops being unusually bountiful for the region. Unbeknownst to travelers the farmers bring humanoid sacrifices to a giant horned snail living in a subterranean temple below the farmland.",,
05,08,,0508,,,1365589886,Ben Hannigan,"Along the shaded southern banks of the river grow shriekers and other fungi, an obvious extension of the fungal forests to the southeast. A mated pair of Rocs use the shriekers for easy meals with which to feed the hatchlings in their nest.",,
05,09,,0509,,GLATHERBLACK,1365594983,Mike Evans,"[[GLATHERBLACK]] was a village of giants that was destroyed when a volcano erupted and coated the community in hot ash. All are preserved in ash, doing their daily activities, or fleeing in terror. Pain and torment etched forever on their faces.",,
05,10,,0510,,,1365595817,Reynaldo Madri̱an,"Unwise culinary choices allowed some of the mushrooms from [[0508]] to get carried into [[0509]] and it started growing in a few people before the cataclysmic eruption. Their Ashen husks, faces still frozen in terror, wander the mountains here - animated by the surviving fungi feasting on thier carrion interior.",,
05,11,,0511,desert,ITZAMNA,1365598693,Ramanan Sivaranjan,"The massive ziggurats of the the city-state of [[ITZAMNA]] can be seen for miles around. Ruled by the Socerer-God Ixmucane, self-proclaimed creator of all humanity.",,
05,12,,0512,desert,,1365599419,Chris Tamm,"A lone spirit lurks in the sands at night, so old it remembers nothing. By day normal seeming sand dunes littered by bones",,
05,13,,0513,desert,,1365599703,Zachary Zahringer,"A failed demonic ritual has taken place here in the wind swept dunes. As lighting seemingly bursts out of the dark cloudless sky, slaves in rags run screaming from a black swirling vortex on top of a large stone altar.",,
05,14,,0514,desert,,1365600096,Josie Lindsey,"A field of shallow depressions between dunes; digging into one will cause either fresh water to spring up, or plunge your hand into a Rot Grub nest. The An-An of Hex [[0413]] direct travelers looking for water here. The creatures of Hex [[0414]] feed on the Rot Grubs.",,
05,15,,0515,desert,,1365600494,Bennet Akkerman,"Encampment of Teimlad Dwar, reclusive magic user (Sand to Glass, Glass to Water, Blindness) and stargazer, Teimlad Dwar knows most of the common names of astronomical objects, but not all obscure ones. He has a magical telescope with which structures on the second closest planet are visible, if one looks through the opposite side the area within 30 metres is shown as a day ago.",,
05,16,,0516,desert,,1365603416,Jacob Hurst,Sand lice. Sand lice everywhere.,,
05,17,,0517,desert,,1365603584,Joshua Macy,"Rocky plateau is a maze of narrow canyons (chance of getting lost is doubled), prone to flash floods in the rainy season. The entrance to the temple of Sul Amon, Master of the Marid, is hidden somewhere in these canyons.",,
05,18,,0518,,,1365603789,Josie Lindsey,"A caravan of giant insects is frozen among the shadows of 10-20 foot fungus stalks. If the ice is dispelled or they are otherwise unfrozen, they will tell you where they buried crystal keys to Brevia's Palace of a Thousand Colors in Hex [[0618]]. They carry trade goods bound for [[TELLACH AVAIL]] in Hex [[0218]].",,
05,19,,0519,,,1365604249,Ray Colina,"In a cave here dwells the Pale Lady. Some claim she is the lich of the exiled queen Agrat Bat Mahlat, others that she is a spirit of wisdom. She trains witches, procures succubae and incubi, and barters her potions and poisons in return for favors.",,
05,20,,0520,,,1365605689,Ramanan Sivaranjan,"The massive turtle Achauhthil has been waiting a thousand years for his mate, Ixilithi (Hex [[0311]]), to return to their home beneath the waters.",,
06,01,,0601,,,1365607842,Kelvin Green,"Partially submerged in the stinking mud is a vast stone lion's head. Inside, accessed by a secret door, are the ancient burial chambers of a forgotten psychic warlord. Almost identical stone heads can be found in the sands of Hex [[1414]] and far below the waves of Hex [[2005]].",,
06,02,,0602,,,1365608083,Zachary Zahringer,Here where the tainted river Ra'ht Tan flows through the badlands a red crystalline bridge spans across a more narrow section of the reddish brown water. At night it glows eerily and can be seen in the horizon with ease from the edge of the the neighboring hexes.,,
06,03,,0603,,,1365608275,Josie Lindsey,"The area is unnaturally devoid of flora. Fire worshippers ride great lizards down the river from the North, looking for those in Hex [[0302]], whom have been declared heretics while travelling. They show signs of passage through swamp Hex [[0601]] and are currently turned around, seeking the oasis in Hex [[0505]].",,
06,04,,0604,desert,,1365608668,Kelvin Green,"Buried in the sand are seven basalt caskets, each about a metre in height and each full of daemonic absinthe. Daemonic absinthe is a neon purple in colour, is twice as potent as the mundane sort, and if drunk by a good-aligned character, will set them on fire.",,
06,05,,0605,desert,,1365609502,Josie Lindsey,"Small herds of wild camels roam here, defending territory from each other. They are hunted by Sand Cats and burrowing serpents.",,
06,06,,0606,desert,,1365609605,Zachary Zahringer,"In the center of this stretch of desert sits a large ornate mirror, approximately 15', tall placed on top of a stepped platform of black stone. The mirror reflects those who stand before it, but the reflected surroundings are not of the region and are instead of Hex [[1411]].",,
06,07,,0607,desert,,1365610808,Chris Tamm,"This stretch of eroded red sandy hills has been exposing ancient fossilized bones of primordial monsters for aeons. Scholars, holy men and alchemists visit for souvenirs",,
06,07,,0607,,AI BATUR MAL ER ZE,1365610563,Josie Lindsey,"A When entered from the East, the metropolitan sprawl of [[AI BATUR MAL ER ZE]] is a bustling, crowded center of trade of nearly 100,000 - the natives are ram-horned, golden skinned humanoids. When entered from the West, a few hundred malnourished survivors eke out a living in the ruins.",,
06,08,,0608,,,1365611425,Josie Lindsey,Dense fungus grows high from the lava and has been shaped into many levels of living bridges over the river by Jackal-men. In places the fungus will whip creatures with tentacles to drink the blood - the Jackal-men attack survivors and loot bodies.,,
06,09,,0609,,,1365611447,Humza Kazmi,"The volcano that destroyed [[0509]] [[GLATHERBLACK]] is here, dead as the village. The colossal ash statue at the top still contains the spirit of the bitter giant sorcerer who had vowed to destroy his hometown.",,
06,10,,0610,,,1365612595,Ramanan Sivaranjan,A small battalion of soldiers from [[ITZAMNA]] hunt prisoners for training and sport. There are prisoners hiding throughout the badlands.,,
06,11,,0611,desert,,1365612841,Chris H,High grass savannah where great cats hunt all. Wildfires are common during the dry season.,,
06,12,,0612,desert,,1365613249,Josie Lindsey,"A sorcerer, two brigands, and a woman pirate travel this trackless expanse to find their father, the Wizard in Hex [[0101]]. They want to extort power from him, and will lie, steal, and kill to get maps and magic from anyone they encounter. They are selling the deed to their ship, stating it's in Hex [[0520]].",,
06,13,,0613,desert,,1365617286,Shoe Skogen,"A bone-pale dervish, wandering the desert to prove their love to the Pale Lady of [[0519]]. They expect it will take a long time, but are resolute. They will offer dreams, nightmares, or made-to-order nightmares in trade for artefacts of baubles to win her favour.",,
06,14,,0614,desert,,1365614163,Kelvin Green,"Hzzzthzzzthzzz the insect philospher meditates upon a tall spire of crimson stone. Each of his pronouncements are (d6) 1-2 true and useful, 3-4 true but inscrutable, or 5-6 complete falsehoods designed to embarrass his interlocutor in some comical fashion, for Hzzzthzzzthzzz does love a good jape.",,
06,15,,0615,desert,,1365615234,Josie Lindsey,"Bones, dazed travelers, and frightened animals are picked over by jewellike insects of odd anatomy.",,
06,16,,0616,desert,,1365615317,Josie Lindsey,"Flower petals fly about on butterfly wings, allergic to their own pollen. Anyone getting sneezed on suffers a random potion effect, and miscability comes into play when a swarm is encountered.",,
06,17,,0617,desert,,1365615910,Ramanan Sivaranjan,"The Army of the Crawling Dead, several hundred Scorpion-men, make their way through the desert wastes. It's unclear who they are marching against.",,
06,18,,0618,,,1365615928,Chris H,"Ant-men tend their flocks of thousand pound aphids in their rain forest home. Besides being a staple of the Ant-men's diet, the honeydew is sold as a sweetener throughout the region.",,
06,19,,0619,,,1365617040,Josie Lindsey,"The Witch Queen Brevia recently moved her Palace of a Thousand Colors here to avoid the Ant-men of Hex [[0618]] learning too many of her secrets. Many of her Scarab servants died during the operation, and some floors of her Palace are unstable now. She suspects the Pale Lady in [[0519]] of stealing her keys, and one of the two froze the insect merchants in [[0518]].",,
06,20,,0620,,,1365618061,Brian Green,A giant underwater cave is the lair of a ferocious sea serpent who has collected debris from hundreds of ships she has sunk over the years.,,
07,01,,0701,,LOBRECO,1365618277,Ramanan Sivaranjan,"The peaceful Halfling village of [[LOBRECO]] lays at the North most tip of the scrubland. The Halflings of the village make excellent guides, being quite familiar with the Northern portion of the region.",,
07,02,,0702,,VISCID ISTAN,1365618388,Zak Smith,"[[VISCID ISTAN]] Long ago, this cluster of domed pleasure palaces and pools fell into disrepair for reasons unknown. The princes and sultans are gone, but refugees from [[ITZAMNA]] ( Hex [[0511]] ) have built a thriving and energetic trading settlement here in the retrofitted ruins.",,
07,03,,0703,,,1365618504,Zachary Zahringer,"When the wind is strong enough (2 in 6 chance), just after the desperately short rainy season, the giant fungus of this region release it's psychedelic spores into the air sending all who travel through here into a deep and intense auditory/visual hallucination. Lasting hours past the last contact with the fugal spores, there is no save for its effect.",,
07,04,,0704,,,1365619773,Chris H,"A raving, blood soaked, nude, human stands near a rune-inscribed circle (made of gold, obsidian, silver, and gems) and over the bodies of 10 dead humans, a bloody knife in his left hand. If neither he nor the summoning circle are physically disturbed he summons ( <a href=""http://summon.totalpartykill.ca/"" class=""ot-anchor"" rel=""nofollow"">http://summon.totalpartykill.ca/</a> enter values 3, 4, 30) if either he or the summoning circle are physically disturbed enter values 3, 4, 0). Regardless of the outcome, he will attack the party.",,
07,05,,0705,,,1365621956,Josie Lindsey,"Overturned carts are on fire and maddened people rush into the river, heedless of the reptiles peeking above the water and moving in. A tree with the face of a man laughs near the rope bridge, unaware the flames lick his branches. Bloody smears lead North to Hex [[0704]].",,
07,06,,0706,,,1365622021,Ramanan Sivaranjan,"A group of adventurers are searching for rumoured ruins of [[ACAMAPICHTLI]], the capital city of the long dead Snake-men. They are reading a worn and incomplete map of the region upside down, and should be searching in Hex [[1415]].",,
07,07,,0707,,,1365623594,Josie Lindsey,"The sprawl of [[AI BATUR MAL ER ZE]] from Hex [[0607]] extends here, and has a skilled metalsmith and tattooist. The ram-horned natives hide from raids of surrounding factions. Walking different paths through the streets here will lead to different eras of the main city.",,
